idbook;title;author;year;pages_total;pages_read;progress
89;Digital Business Models: Concepts, Models, and the Alphabet Case Study;Bernd W. Wirtz;2019;252;0;0
90;"Essentials of Business Analytics: 
An Introduction to the Methodology
and its Applications";"Bhimasankaram Pochiraju; Sridhar  Seshadri";2019;971;0;0
91;Excel Data Analysis: Modeling and Simulation;Hector Guerrero;2019;358;0;0
92;"Managing Sustainable Business:
An Executive Education Case and Textbook";"Gilbert G. Lenssen; N. Craig Smith";2019;705;0;0
93;Graph databases;Ian Robinson;2015;238;0;0
94;Graph Algorithms Practical Examples in Apache Spark and Neo4j;"Mark Needham; Amy E. Hodler";2019;257;0;0
95;Kotlin development for Android - create your own app;Michael J. Fordham;2017;53;46;0.87
96;Kotlin for Android Developers;Antonio Leiva;2017;191;0;0
97;Mastering Android Development with Kotlin;Milos Vasic;2017;519;0;0
98;Android Development with Kotlin;"Marcin Moskala; Igor Wojda";2017;562;0;0
99;Head First Kotlin;Dawn Griffiths;2019;742;0;0
100;Head First Android Development;Dawn Griffiths;2015;734;0;0
